gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges;tenure_group;avg_charge_per_tenure;high_value_flag;service_density;y_true;y_prob;y_pred;Prediction_Type;Risk_Level;Estimated_Cost
Male;0;Yes;No;63;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;102,40;6444,05;61-72;102,29;1;4;0;0,86;1;FP;High;100
Male;0;Yes;Yes;7;Yes;No;DSL;Yes;No;Yes;Yes;No;Yes;Month-to-month;Yes;Credit card (automatic);71,35;515,75;7-12;73,68;0;4;0;0,49;0;TN;Low;0
Male;1;Yes;No;62;Yes;Yes;Fiber optic;No;Yes;No;No;No;Yes;Month-to-month;Yes;Bank transfer (automatic);89,80;5629,55;61-72;90,80;0;2;0;0,74;1;FP;Moderate;100
Male;0;Yes;Yes;67;Yes;No;DSL;Yes;Yes;No;Yes;No;No;One year;No;Mailed check;60,05;3994,05;61-72;59,61;0;3;0;0,20;0;TN;Low;0
Female;0;No;No;12;Yes;Yes;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Electronic check;78,95;927,35;7-12;77,28;0;1;1;0,77;1;TP;High;0
Female;0;No;No;9;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Credit card (automatic);20,45;147,55;7-12;16,39;0;0;0;0,42;0;TN;Low;0
Female;1;Yes;No;3;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;80,40;224,05;0-6;74,68;0;1;1;0,94;1;TP;High;0
Female;1;No;No;51;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);19,60;967,90;25-60;18,98;0;0;0;0,05;0;TN;Low;0
Female;0;No;No;9;Yes;No;DSL;No;No;No;Yes;Yes;No;Month-to-month;Yes;Bank transfer (automatic);59,50;530,05;7-12;58,89;0;2;0;0,58;1;FP;Moderate;100
Female;1;No;No;30;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;99,70;2967,35;25-60;98,91;1;3;1;0,88;1;TP;High;0
Male;0;No;Yes;23;No;No phone service;DSL;Yes;No;Yes;Yes;No;No;Two year;No;Mailed check;40,10;857,75;13-24;37,29;0;3;0;0,14;0;TN;Low;0
Female;0;No;No;9;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;83,30;803,30;7-12;89,26;0;1;1;0,92;1;TP;High;0
Male;0;No;No;29;Yes;No;DSL;No;No;Yes;Yes;Yes;Yes;One year;Yes;Bank transfer (automatic);75,35;2243,90;25-60;77,38;0;4;0;0,43;0;TN;Low;0
Female;1;No;No;1;Yes;No;DSL;Yes;No;Yes;No;No;No;Month-to-month;Yes;Electronic check;55,80;55,80;0-6;55,80;0;2;1;0,78;1;TP;High;0
Female;0;Yes;Yes;12;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Bank transfer (automatic);19,40;198,10;7-12;16,51;0;0;0;0,44;0;TN;Low;0
Female;0;No;No;1;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;No;Electronic check;75,55;75,55;0-6;75,55;0;1;0;0,93;1;FP;High;100
Male;0;Yes;Yes;66;No;No phone service;DSL;No;Yes;Yes;No;Yes;Yes;Two year;Yes;Credit card (automatic);56,75;3708,40;61-72;56,19;0;4;0;0,22;0;TN;Low;0
Male;0;No;No;13;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);73,75;956,65;13-24;73,59;0;1;0;0,70;1;FP;Moderate;100
Male;1;Yes;No;7;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;75,40;533,05;7-12;76,15;0;0;0;0,92;1;FP;High;100
Female;1;No;No;20;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;No;Bank transfer (automatic);80,70;1614,20;13-24;80,71;0;1;0;0,80;1;FP;High;100
Female;0;Yes;Yes;72;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;One year;Yes;Credit card (automatic);103,20;7362,90;61-72;102,26;1;4;0;0,56;1;FP;Moderate;100
Female;1;No;No;9;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;No;Month-to-month;Yes;Electronic check;90,10;816,80;7-12;90,76;0;2;0;0,92;1;FP;High;100
Female;0;No;No;37;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;19,85;784,25;25-60;21,20;0;0;0;0,06;0;TN;Low;0
Female;0;Yes;Yes;43;Yes;Yes;Fiber optic;No;No;Yes;No;No;Yes;Month-to-month;Yes;Bank transfer (automatic);92,55;4039,00;25-60;93,93;1;2;0;0,78;1;FP;High;100
Male;0;No;No;9;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;19,85;178,80;7-12;19,87;0;0;0;0,50;0;TN;Low;0
Male;0;No;No;10;Yes;Yes;Fiber optic;Yes;No;No;No;Yes;Yes;Month-to-month;No;Electronic check;98,55;1008,55;7-12;100,85;0;3;1;0,79;1;TP;High;0
Male;0;No;No;13;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;70,15;931,75;13-24;71,67;0;0;0;0,91;1;FP;High;100
Female;0;No;No;18;Yes;No;DSL;No;No;Yes;No;No;No;Month-to-month;Yes;Mailed check;50,00;892,70;13-24;49,59;0;1;0;0,72;1;FP;Moderate;100
Female;0;No;No;6;Yes;Yes;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Electronic check;79,05;434,50;0-6;72,42;0;1;1;0,79;1;TP;High;0
Male;0;No;No;30;Yes;No;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;90,25;2755,35;25-60;91,84;1;2;1;0,88;1;TP;High;0
Female;0;No;No;8;Yes;No;DSL;Yes;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;60,00;487,75;7-12;60,97;0;2;0;0,71;1;FP;Moderate;100
Female;0;Yes;No;26;Yes;No;DSL;No;Yes;Yes;No;Yes;Yes;Two year;Yes;Credit card (automatic);73,50;1905,70;25-60;73,30;0;4;0;0,26;0;TN;Low;0
Female;0;Yes;No;21;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;86,50;1808,70;13-24;86,13;0;1;1;0,90;1;TP;High;0
Female;0;Yes;Yes;62;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);20,30;1296,15;61-72;20,91;0;0;0;0,03;0;TN;Low;0
Female;0;No;No;26;No;No phone service;DSL;No;No;Yes;Yes;Yes;No;Month-to-month;Yes;Credit card (automatic);44,45;1183,80;25-60;45,53;0;3;0;0,50;0;TN;Low;0
Female;0;Yes;Yes;39;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic);19,85;854,80;25-60;21,92;0;0;0;0,05;0;TN;Low;0
Male;0;Yes;Yes;60;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Credit card (automatic);23,95;1506,40;25-60;25,11;0;0;0;0,09;0;TN;Low;0
Female;0;No;No;48;No;No phone service;DSL;Yes;Yes;No;No;Yes;No;Month-to-month;Yes;Electronic check;44,80;2104,55;25-60;43,84;0;3;0;0,62;1;FP;Moderate;100
Male;1;Yes;No;32;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;85,00;2642,05;25-60;82,56;0;1;1;0,89;1;TP;High;0
Female;0;Yes;Yes;54;Yes;No;DSL;Yes;No;Yes;Yes;No;Yes;Two year;No;Bank transfer (automatic);69,95;3871,85;25-60;71,70;0;4;0;0,12;0;TN;Low;0
Female;1;No;Yes;30;Yes;Yes;Fiber optic;No;No;No;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;101,30;2974,50;25-60;99,15;1;3;0;0,77;1;FP;High;100
Male;0;No;No;68;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;No;Yes;Two year;Yes;Bank transfer (automatic);102,10;7149,35;61-72;105,14;1;4;0;0,35;0;TN;Low;0
Male;1;Yes;No;65;Yes;No;Fiber optic;No;No;No;No;No;No;One year;Yes;Bank transfer (automatic);70,95;4555,20;61-72;70,08;0;0;0;0,44;0;TN;Low;0
Male;0;No;No;58;Yes;Yes;Fiber optic;No;No;No;Yes;No;No;Month-to-month;No;Bank transfer (automatic);80,65;4807,35;25-60;82,89;0;1;0;0,57;1;FP;Moderate;100
Female;0;No;No;71;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;Two year;Yes;Credit card (automatic);106,75;7283,25;61-72;102,58;1;5;0;0,30;0;TN;Low;0
Female;0;Yes;Yes;53;No;No phone service;DSL;Yes;Yes;Yes;No;No;Yes;Month-to-month;Yes;Bank transfer (automatic);48,70;2495,20;25-60;47,08;0;4;0;0,49;0;TN;Low;0
Male;0;No;No;13;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Mailed check;19,95;257,00;13-24;19,77;0;0;0;0,18;0;TN;Low;0
Female;0;Yes;Yes;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Mailed check;20,50;20,50;0-6;20,50;0;0;1;0,61;1;TP;Moderate;0
Female;0;Yes;Yes;72;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);19,70;1379,80;61-72;19,16;0;0;0;0,03;0;TN;Low;0
Male;0;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;19,05;19,05;0-6;19,05;0;0;0;0,51;1;FP;Moderate;100
Male;1;No;No;8;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;100,60;819,40;7-12;102,42;0;3;1;0,92;1;TP;High;0
Female;0;No;No;29;No;No phone service;DSL;No;No;No;Yes;No;No;Month-to-month;Yes;Electronic check;31,20;926,20;25-60;31,94;0;1;0;0,58;1;FP;Moderate;100
Male;0;Yes;Yes;65;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;19,90;1292,60;61-72;19,89;0;0;0;0,03;0;TN;Low;0
Female;0;No;No;6;Yes;No;DSL;Yes;No;No;No;No;No;Month-to-month;Yes;Electronic check;49,45;314,60;0-6;52,43;0;1;0;0,77;1;FP;High;100
Male;0;Yes;No;42;Yes;Yes;DSL;Yes;No;No;Yes;Yes;Yes;One year;No;Credit card (automatic);80,45;3375,90;25-60;80,38;0;4;0;0,35;0;TN;Low;0
Male;0;Yes;No;63;Yes;No;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);110,10;6705,70;61-72;106,44;1;6;0;0,31;0;TN;Low;0
Male;0;Yes;No;71;Yes;Yes;DSL;Yes;No;Yes;Yes;Yes;Yes;Two year;No;Electronic check;83,20;6126,10;61-72;86,28;0;5;0;0,13;0;TN;Low;0
Male;1;No;No;33;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Bank transfer (automatic);24,90;847,80;25-60;25,69;0;0;0;0,14;0;TN;Low;0
Male;1;No;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;69,65;69,65;0-6;69,65;0;0;1;0,95;1;TP;High;0
Female;0;No;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Mailed check;70,90;70,90;0-6;70,90;0;0;1;0,91;1;TP;High;0
Male;0;No;No;27;Yes;No;DSL;Yes;No;Yes;Yes;Yes;Yes;One year;No;Electronic check;81,70;2212,55;25-60;81,95;0;5;0;0,41;0;TN;Low;0
Male;0;No;No;10;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Credit card (automatic);20,00;198,60;7-12;19,86;0;0;0;0,49;0;TN;Low;0
Male;0;No;No;60;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);89,90;5450,70;25-60;90,84;0;2;0;0,76;1;FP;Moderate;100
Female;0;No;No;48;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Bank transfer (automatic);24,55;1203,95;25-60;25,08;0;0;0;0,11;0;TN;Low;0
Male;0;Yes;Yes;72;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);24,30;1643,25;61-72;22,82;0;0;0;0,02;0;TN;Low;0
Female;0;Yes;No;72;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);19,40;1496,45;61-72;20,78;0;0;0;0,04;0;TN;Low;0
Male;1;Yes;No;7;No;No phone service;DSL;Yes;No;No;No;No;No;Month-to-month;No;Bank transfer (automatic);29,80;220,45;7-12;31,49;0;1;0;0,63;1;FP;Moderate;100
Female;0;No;No;27;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Mailed check;19,60;561,15;25-60;20,78;0;0;0;0,07;0;TN;Low;0
Female;0;Yes;Yes;46;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Mailed check;19,25;864,20;25-60;18,79;0;0;0;0,05;0;TN;Low;0
Female;1;No;No;50;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;104,95;5222,35;25-60;104,45;1;4;0;0,77;1;FP;High;100
Female;0;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;19,10;19,10;0-6;19,10;0;0;0;0,57;1;FP;Moderate;100
Male;0;Yes;No;72;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);88,70;6301,70;61-72;87,52;0;6;0;0,10;0;TN;Low;0
Female;0;No;No;72;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Credit card (automatic);115,05;8405,00;61-72;116,74;1;6;0;0,21;0;TN;Low;0
Female;1;Yes;No;70;Yes;Yes;Fiber optic;No;Yes;No;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);104,45;7349,35;61-72;104,99;1;4;0;0,40;0;TN;Low;0
Female;0;No;No;26;Yes;No;Fiber optic;Yes;No;Yes;Yes;No;No;One year;Yes;Credit card (automatic);87,15;2274,10;25-60;87,47;0;3;0;0,34;0;TN;Low;0
Male;0;Yes;Yes;44;No;No phone service;DSL;No;No;Yes;Yes;Yes;Yes;One year;Yes;Electronic check;54,30;2317,10;25-60;52,66;0;4;0;0,43;0;TN;Low;0
Male;0;Yes;No;1;Yes;No;Fiber optic;No;No;No;Yes;Yes;No;Month-to-month;Yes;Electronic check;84,80;84,80;0-6;84,80;0;2;1;0,83;1;TP;High;0
Female;0;No;No;21;Yes;No;Fiber optic;No;Yes;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;90,05;1862,90;13-24;88,71;0;3;0;0,89;1;FP;High;100
Female;0;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Credit card (automatic);19,40;19,40;0-6;19,40;0;0;0;0,61;1;FP;Moderate;100
Female;0;No;No;2;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Mailed check;20,05;39,25;0-6;19,62;0;0;0;0,62;1;FP;Moderate;100
Female;0;Yes;Yes;71;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);20,50;1500,95;61-72;21,14;0;0;0;0,03;0;TN;Low;0
Male;1;No;No;18;Yes;Yes;DSL;Yes;Yes;No;No;No;No;Month-to-month;Yes;Credit card (automatic);58,40;964,90;13-24;53,61;0;2;0;0,58;1;FP;Moderate;100
Female;0;No;No;11;Yes;No;DSL;Yes;No;No;No;No;No;Month-to-month;No;Credit card (automatic);48,55;501,00;7-12;45,55;0;1;1;0,62;1;TP;Moderate;0
Female;0;No;No;12;Yes;Yes;DSL;No;No;No;Yes;Yes;Yes;One year;Yes;Mailed check;75,85;854,45;7-12;71,20;0;3;0;0,47;0;TN;Low;0
Male;0;No;No;13;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;19,95;243,65;13-24;18,74;0;0;0;0,10;0;TN;Low;0
Female;0;Yes;No;67;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;One year;Yes;Credit card (automatic);109,70;7344,45;61-72;109,62;1;5;0;0,56;1;FP;Moderate;100
Male;0;No;No;23;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Electronic check;20,85;473,90;13-24;20,60;0;0;0;0,36;0;TN;Low;0
Female;1;Yes;No;53;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);25,10;1275,60;25-60;24,07;0;0;0;0,05;0;TN;Low;0
Female;0;No;No;9;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);74,25;639,65;7-12;71,07;0;1;1;0,70;1;TP;Moderate;0
Female;0;No;No;18;Yes;No;Fiber optic;No;Yes;Yes;No;No;No;Month-to-month;No;Electronic check;77,80;1358,60;13-24;75,48;0;2;0;0,85;1;FP;High;100
Female;0;Yes;Yes;68;Yes;Yes;DSL;No;Yes;Yes;Yes;Yes;Yes;Two year;No;Bank transfer (automatic);85,30;5560,00;61-72;81,76;0;5;0;0,14;0;TN;Low;0
Male;0;Yes;No;38;Yes;No;Fiber optic;Yes;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;79,45;3013,05;25-60;79,29;0;2;1;0,69;1;TP;Moderate;0
Female;0;No;No;46;Yes;Yes;DSL;Yes;No;Yes;No;Yes;Yes;Two year;No;Mailed check;79,20;3593,80;25-60;78,13;0;4;0;0,18;0;TN;Low;0
Female;0;Yes;Yes;72;Yes;Yes;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Two year;No;Mailed check;107,45;7576,70;61-72;105,23;1;5;0;0,26;0;TN;Low;0
Female;0;Yes;Yes;12;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);25,25;274,70;7-12;22,89;0;0;0;0,08;0;TN;Low;0
Female;0;No;No;46;Yes;No;DSL;No;No;Yes;Yes;No;No;Two year;No;Credit card (automatic);54,35;2460,15;25-60;53,48;0;2;1;0,15;0;FN;Low;2000
Female;0;No;No;1;Yes;No;Fiber optic;No;No;No;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;95,85;95,85;0-6;95,85;0;3;0;0,85;1;FP;High;100
Male;0;Yes;No;10;Yes;No;DSL;Yes;No;No;Yes;No;No;Month-to-month;Yes;Credit card (automatic);54,95;568,85;7-12;56,89;0;2;0;0,51;1;FP;Moderate;100
Female;0;No;No;13;Yes;Yes;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);80,00;1029,35;13-24;79,18;0;1;0;0,70;1;FP;Moderate;100
Male;0;No;Yes;40;No;No phone service;DSL;Yes;Yes;No;Yes;No;No;One year;No;Mailed check;40,25;1564,05;25-60;39,10;0;3;0;0,22;0;TN;Low;0
Female;0;No;No;3;No;No phone service;DSL;Yes;No;No;Yes;No;No;Month-to-month;No;Mailed check;34,25;139,35;0-6;46,45;0;2;1;0,64;1;TP;Moderate;0
Male;1;No;No;15;Yes;No;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;74,40;1074,30;13-24;71,62;0;1;1;0,90;1;TP;High;0
Male;0;No;Yes;35;Yes;No;Fiber optic;No;No;Yes;No;Yes;No;One year;Yes;Electronic check;85,15;3030,60;25-60;86,59;0;2;1;0,54;1;TP;Moderate;0
Female;0;Yes;Yes;57;Yes;No;DSL;Yes;Yes;No;No;No;No;One year;No;Electronic check;53,45;3053,00;25-60;53,56;0;2;0;0,31;0;TN;Low;0
Male;0;Yes;Yes;7;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;No;Electronic check;44,75;333,65;7-12;47,66;0;0;0;0,82;1;FP;High;100
Male;1;No;No;10;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;95,35;898,35;7-12;89,84;0;2;1;0,92;1;TP;High;0
Male;1;Yes;No;71;No;No phone service;DSL;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);52,30;3765,05;61-72;53,03;0;4;0;0,61;1;FP;Moderate;100
Male;0;Yes;No;5;No;No phone service;DSL;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;24,95;100,40;0-6;20,08;0;0;1;0,89;1;TP;High;0
Female;0;Yes;No;64;Yes;Yes;Fiber optic;Yes;No;Yes;No;Yes;No;Two year;Yes;Credit card (automatic);94,60;5948,70;61-72;92,95;1;3;0;0,24;0;TN;Low;0
Male;1;Yes;No;1;Yes;Yes;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Electronic check;80,30;80,30;0-6;80,30;0;1;1;0,80;1;TP;High;0
Male;0;No;No;69;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;No;Two year;Yes;Credit card (automatic);97,65;6743,55;61-72;97,73;1;4;0;0,34;0;TN;Low;0
Male;0;No;No;20;Yes;Yes;DSL;Yes;No;No;Yes;No;No;Month-to-month;No;Bank transfer (automatic);59,20;1191,20;13-24;59,56;0;2;0;0,49;0;TN;Low;0
Male;1;No;No;6;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;79,70;497,60;0-6;82,93;0;1;0;0,94;1;FP;High;100
Female;0;No;Yes;4;Yes;No;Fiber optic;No;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);98,10;396,30;0-6;99,08;0;4;1;0,79;1;TP;High;0
Male;0;Yes;Yes;29;Yes;No;Fiber optic;Yes;No;No;No;Yes;Yes;Month-to-month;No;Credit card (automatic);94,65;2649,15;25-60;91,35;0;3;1;0,64;1;TP;Moderate;0
Female;0;Yes;No;65;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);107,65;7082,85;61-72;108,97;1;5;0;0,40;0;TN;Low;0
Male;0;No;No;1;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;45,05;45,05;0-6;45,05;0;0;1;0,89;1;TP;High;0
Male;0;No;No;30;Yes;Yes;Fiber optic;No;No;No;Yes;No;Yes;Month-to-month;Yes;Credit card (automatic);89,90;2723,15;25-60;90,77;0;2;0;0,65;1;FP;Moderate;100
Female;0;No;No;3;Yes;No;Fiber optic;No;Yes;No;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;97,90;315,30;0-6;105,10;0;4;1;0,83;1;TP;High;0
Female;1;Yes;Yes;65;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;One year;Yes;Electronic check;107,45;7047,50;61-72;108,42;1;4;0;0,67;1;FP;Moderate;100
Male;1;Yes;No;17;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;94,80;1563,90;13-24;91,99;0;2;0;0,91;1;FP;High;100
Male;0;No;No;11;Yes;No;Fiber optic;No;Yes;No;No;No;No;Month-to-month;No;Electronic check;74,95;815,50;7-12;74,14;0;1;1;0,87;1;TP;High;0
Female;1;Yes;No;45;Yes;No;Fiber optic;No;No;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;86,10;3861,45;25-60;85,81;0;2;0;0,87;1;FP;High;100
Male;0;Yes;Yes;72;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;No;Yes;Two year;No;Credit card (automatic);103,95;7517,70;61-72;104,41;1;5;0;0,22;0;TN;Low;0
Male;1;No;No;22;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;96,70;2082,95;13-24;94,68;0;2;1;0,90;1;TP;High;0
Female;0;Yes;Yes;49;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;25,25;1211,65;25-60;24,73;0;0;0;0,04;0;TN;Low;0
Female;1;No;No;5;Yes;No;Fiber optic;No;No;No;No;No;Yes;Month-to-month;No;Electronic check;78,95;378,40;0-6;75,68;0;1;1;0,93;1;TP;High;0
Female;0;No;Yes;1;Yes;No;DSL;Yes;No;No;No;No;No;Month-to-month;No;Mailed check;49,90;49,90;0-6;49,90;0;1;0;0,71;1;FP;Moderate;100
Female;0;No;No;23;Yes;Yes;DSL;No;No;No;Yes;Yes;Yes;One year;Yes;Mailed check;73,75;1756,60;13-24;76,37;0;3;0;0,43;0;TN;Low;0
Male;0;Yes;No;28;Yes;No;DSL;Yes;No;No;Yes;No;No;One year;No;Mailed check;54,35;1426,45;25-60;50,94;0;2;0;0,23;0;TN;Low;0
Male;0;Yes;Yes;69;Yes;No;Fiber optic;No;Yes;No;Yes;Yes;No;Two year;Yes;Mailed check;92,15;6480,90;61-72;93,93;1;3;0;0,28;0;TN;Low;0
Female;0;No;No;68;No;No phone service;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Credit card (automatic);64,35;4539,60;61-72;66,76;0;6;0;0,10;0;TN;Low;0
Male;0;No;No;65;Yes;Yes;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;One year;Yes;Credit card (automatic);110,00;7138,65;61-72;109,83;1;5;0;0,52;1;FP;Moderate;100
Male;0;No;No;2;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);69,80;134,70;0-6;67,35;0;0;1;0,89;1;TP;High;0
Male;0;Yes;Yes;56;No;No phone service;DSL;Yes;Yes;No;Yes;Yes;No;One year;Yes;Mailed check;52,00;2884,90;25-60;51,52;0;4;0;0,24;0;TN;Low;0
Male;0;Yes;Yes;2;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Mailed check;69,95;143,90;0-6;71,95;0;0;0;0,89;1;FP;High;100
Male;0;Yes;No;7;No;No phone service;DSL;Yes;Yes;No;No;No;No;Month-to-month;No;Mailed check;34,20;256,60;7-12;36,66;0;2;0;0,58;1;FP;Moderate;100
Female;0;No;No;9;Yes;No;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);90,80;809,75;7-12;89,97;0;2;1;0,86;1;TP;High;0
Female;1;Yes;No;55;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;No;No;Month-to-month;No;Electronic check;90,45;5044,80;25-60;91,72;1;3;0;0,64;1;FP;Moderate;100
Female;1;Yes;No;38;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);74,95;2869,85;25-60;75,52;0;0;1;0,78;1;TP;High;0
Female;0;No;No;30;Yes;Yes;Fiber optic;Yes;No;No;Yes;Yes;Yes;Month-to-month;No;Bank transfer (automatic);106,40;3211,90;25-60;107,06;1;4;0;0,63;1;FP;Moderate;100
